,Age,Inc_group,Gender,Dead to Dead,Dead to Good Health,Dead to Poor Health,Dead to NH,Dead to HHC,Good Health to Dead,Good Health to Good Health,Good Health to Poor Health,Good Health to NH,Good Health to HHC,Poor Health to Dead,Poor Health to Good Health,Poor Health to Poor Health,Poor Health to NH,Poor Health to HHC,NH to Dead,NH to Good Health,NH to Poor Health,NH to NH,NH to HHC,HHC to Dead,HHC to Good Health,HHC to Poor Health,HHC to NH,HHC to HHC,Good Health at t,Bad Health at t,NH at t,HHC at t
34,84,3,2.female,16,0,0,0,0,18,161,21,5,27,15,17,24,1,4,8,1,2,7,1,4,18,7,4,12,232,61,19,45
35,85,3,2.female,17,0,0,0,0,14,143,22,10,22,12,13,25,9,12,7,1,0,12,0,8,12,4,7,16,211,71,20,47
36,86,3,2.female,12,0,0,0,0,15,139,18,15,17,9,13,23,5,13,5,0,1,8,1,9,16,5,5,10,204,63,15,45
37,87,3,2.female,14,0,0,0,0,16,95,15,11,17,11,10,17,9,6,12,2,0,20,1,9,7,8,8,11,154,53,35,43
38,88,3,2.female,15,0,0,0,0,13,96,8,15,16,13,8,16,7,7,13,0,1,13,4,12,9,8,3,11,148,51,31,43
39,89,3,2.female,11,0,0,0,0,15,66,12,5,25,9,6,16,10,8,12,1,2,17,1,7,10,4,7,9,123,49,33,37
40,90,3,2.female,13,0,0,0,0,18,49,10,8,13,2,4,10,4,8,14,1,0,22,1,8,6,3,10,9,98,28,38,36
41,91,3,2.female,14,0,0,0,0,12,43,6,10,5,10,3,4,7,4,8,2,0,13,0,14,6,1,8,9,76,28,23,38
42,92,3,2.female,12,0,0,0,0,13,24,7,9,12,6,1,7,4,5,6,1,2,9,0,8,2,3,5,9,65,23,18,27
43,93,3,2.female,13,0,0,0,0,11,17,5,6,14,4,3,1,1,1,9,3,1,15,3,9,5,1,3,2,53,10,31,20
44,94,3,2.female,12,0,0,0,0,2,9,2,3,6,5,3,2,2,3,12,1,0,9,0,2,4,1,3,3,22,15,22,13
45,95,3,2.female,7,0,0,0,0,4,14,3,5,1,2,0,1,3,2,8,1,2,9,0,7,4,0,10,4,27,8,20,25
46,96,3,2.female,4,0,0,0,0,4,4,2,3,7,2,2,1,0,2,4,0,0,11,1,6,2,0,1,6,20,7,16,15
47,97,3,2.female,5,0,0,0,0,7,1,1,3,1,2,0,0,0,0,7,0,0,8,1,3,2,0,0,3,13,2,16,8
48,98,3,2.female,3,0,0,0,0,2,1,1,4,0,1,1,0,0,0,2,0,0,2,0,6,0,2,4,2,8,2,4,14
49,99,3,2.female,2,0,0,0,0,0,1,0,1,0,2,0,0,1,0,3,0,0,7,0,3,0,0,2,2,2,3,10,7
